N,P,K,temperature,ph,Soil_moisture,Conductivity,label
83,60,36,25.59704938,6.903985986,0.148586868,6.730069845,rice
82,40,40,23.83067496,6.271478838,0.153275771,6.524188338,rice
85,52,45,26.31355498,7.224285503,0.150074478,6.66335818,rice
91,35,38,24.8972823,6.13428721,0.157910258,6.332710827,rice
76,49,42,24.958779,5.206373153,0.15544179,6.433276388,rice
74,39,38,23.24113501,7.782051313,0.160537318,6.229081268,rice
79,43,39,21.66628296,7.062779015,0.140784366,7.103061419,rice
88,55,45,24.63544858,7.730367824,0.136358769,7.333595096,rice
60,36,43,23.43121862,5.286203711,0.175764163,5.689441946,rice
76,60,39,20.0454142,6.766240045,0.12025951,8.315350714,rice
93,56,42,23.85724032,7.382762603,0.130142619,7.683877918,rice
65,60,43,21.97199397,5.658169482,0.136738059,7.313252834,rice
95,52,36,26.22916897,5.543360238,0.148793273,6.720733938,rice
75,38,39,23.44676801,6.215109715,0.160834,6.217590805,rice
74,54,38,25.65553461,7.120272972,0.16057551,6.227599725,rice
91,36,45,24.44345477,5.950647577,0.147927063,6.760088265,rice
71,46,40,20.2801937,7.236705436,0.135542635,7.377752393,rice
99,55,35,21.7238313,6.501697816,0.120231912,8.317259423,rice
72,40,38,20.41447029,7.592490617,0.142763135,7.004609405,rice
83,58,45,25.75528612,5.875345751,0.143845624,6.95189725,rice
93,58,38,20.61521424,6.932400225,0.114366213,8.743841162,rice
70,36,42,21.84106875,6.946209881,0.154331546,6.479556698,rice
76,47,42,20.08369642,5.739175027,0.127779978,7.825952182,rice
99,41,36,24.45802087,6.738652179,0.144647846,6.913341807,rice
99,54,37,21.14347496,5.594819626,0.116544605,8.580405756,rice
86,59,35,25.78720567,6.946636369,0.148817809,6.719625862,rice
69,46,41,23.64124821,5.012139669,0.157956719,6.330848124,rice
91,56,37,23.43191632,6.363472208,0.132782154,7.53113254,rice
61,52,41,24.97669518,6.880431223,0.168679839,5.928390772,rice
67,45,38,22.72791041,7.300410836,0.158186069,6.321669182,rice
79,42,37,24.87300744,6.587918708,0.163753212,6.106750457,rice
78,43,42,21.32376327,7.283736617,0.136955603,7.301636289,rice
75,54,36,26.29465461,7.023936392,0.165422149,6.045139693,rice
97,36,45,22.2286982,6.939083505,0.130498304,7.662934809,rice
67,47,44,26.73072391,7.868474653,0.175510911,5.697651475,rice
73,35,38,24.88921174,5.005306977,0.177323368,5.639414651,rice
77,36,37,26.88444878,6.136131869,0.185896325,5.379342485,rice
81,41,38,22.67846116,7.524080076,0.147990382,6.757195872,rice
68,57,43,26.08867875,5.706943251,0.161242135,6.201852868,rice
72,45,35,25.42977518,5.758506323,0.1738801,5.751089404,rice
61,53,43,26.40323239,6.349606327,0.174542881,5.729251125,rice
67,43,39,26.04371967,5.999969026,0.181501474,5.50959712,rice
67,58,39,25.2827223,5.453592032,0.160260502,6.239840688,rice
66,60,38,22.08576562,6.372576327,0.140766864,7.103944599,rice
82,43,38,23.28617173,5.105588355,0.148994919,6.711638286,rice
84,50,44,25.48591986,5.935344406,0.148797303,6.720551936,rice
81,53,42,23.67575393,5.17782304,0.140203147,7.132507501,rice
91,50,40,20.82477109,6.462391607,0.120578846,8.293328679,rice
93,53,38,26.92995077,7.069172227,0.151793211,6.587909929,rice
90,44,38,23.83509503,7.473134377,0.144390087,6.925683183,rice
81,45,35,26.52872817,6.158376967,0.170985889,5.848435823,rice
78,40,38,26.46428311,7.549873681,0.176053097,5.68010457,rice
60,51,36,22.69657794,6.028321558,0.16120121,6.203427363,rice
88,46,42,22.68319059,6.604993475,0.134563583,7.431431138,rice
93,47,37,21.53346343,6.500343222,0.127307703,7.854984235,rice
60,55,45,21.40865769,5.935745417,0.140054111,7.140097466,rice
78,35,44,26.54348085,7.072655622,0.175436184,5.700078391,rice
65,37,40,23.35905428,5.333322606,0.171542636,5.829454558,rice
71,54,16,22.61359953,5.749914421,0.167472337,5.971135397,maize
61,44,17,26.10018422,6.931756558,0.222132658,4.501814416,maize
80,43,16,23.55882094,6.657964753,0.176682165,5.659880836,maize
73,58,21,19.97215954,6.596060648,0.137974734,7.247703781,maize
61,38,20,18.47891261,5.970458434,0.163688341,6.109170588,maize
68,41,16,21.77689322,6.158830619,0.182215146,5.488018001,maize
93,41,17,25.6217169,6.047906679,0.176302761,5.672060918,maize
89,60,19,25.19192419,5.913664501,0.155904311,6.414190832,maize
76,44,17,20.41683147,5.855442401,0.156327237,6.396837935,maize
67,60,25,24.92162194,5.750254943,0.170536986,5.863830603,maize
70,44,19,23.31689124,5.852607099,0.182833769,5.469449145,maize
90,49,21,24.84016732,6.472523287,0.161501046,6.19191037,maize
62,52,16,22.27526694,6.967057762,0.179040515,5.585327994,maize
92,44,16,18.87751445,6.082973754,0.130773121,7.646831317,maize
66,54,21,25.19008683,5.919045532,0.185745297,5.383716401,maize
63,58,22,18.25405352,6.204747653,0.134643731,7.427007505,maize
70,47,17,24.6129118,6.600827017,0.191141133,5.231736284,maize
61,41,17,25.1420613,6.021902237,0.219681187,4.552051142,maize
66,53,19,23.09348056,6.033550195,0.174590439,5.727690512,maize
74,55,19,18.05033737,6.28886807,0.128718496,7.768891287,maize
77,57,21,24.9321581,6.550563823,0.167304246,5.977134622,maize
99,50,15,18.14710054,5.573286437,0.116750613,8.565265517,maize
74,56,22,18.28362235,6.829199275,0.126865937,7.882336484,maize
83,45,21,18.83344471,5.716222912,0.133110367,7.512562854,maize
100,48,16,25.71895816,5.54990242,0.162920477,6.137963876,maize
79,51,16,25.33797709,6.586244581,0.180397103,5.543326259,maize
94,39,18,23.89114571,5.893093135,0.164842025,6.066414208,maize
75,49,15,21.53574127,5.918263801,0.162127635,6.167979936,maize
78,48,22,23.08974909,5.588650585,0.162768575,6.143692051,maize
87,54,20,25.61707368,6.576418207,0.165323439,6.048749082,maize
87,35,25,21.44526922,6.178056304,0.152688906,6.549264282,maize
63,43,19,18.51816776,6.641906353,0.156145342,6.404289662,maize
84,57,25,22.53510514,6.489040367,0.141777742,7.053293326,maize
64,35,23,23.02038334,5.680361038,0.196888388,5.079019692,maize
60,46,22,24.89364635,6.625404348,0.202294112,4.943297606,maize
98,44,21,25.77175115,6.524478032,0.164243872,6.088507214,maize
75,56,18,19.39851734,5.696205468,0.136902801,7.304452452,maize
86,55,21,21.54156232,6.803931519,0.139145446,7.18672458,maize
98,35,18,23.79746068,6.252797548,0.164221594,6.089333176,maize
76,57,18,18.9802729,6.092725883,0.132319688,7.557454333,maize
99,56,17,24.10859207,6.234330356,0.145980186,6.85024471,maize
60,44,23,24.7947077,5.722579819,0.203107935,4.923490565,maize
74,48,17,21.63162756,6.430616465,0.162817464,6.141847272,maize
89,60,17,25.37548751,5.983952675,0.158888479,6.293722531,maize
69,51,23,22.21738222,6.80163854,0.162359316,6.15917844,maize
96,46,22,20.58314011,6.499936446,0.131604513,7.598523624,maize
61,60,15,24.87502824,6.265564338,0.190257561,5.256032911,maize
74,58,18,20.03728219,6.727303282,0.140248548,7.130198599,maize
74,43,23,25.95263264,6.325235159,0.192518805,5.194297784,maize
63,43,17,19.28889933,6.807487794,0.164950401,6.062428424,maize
99,36,20,20.57981887,6.671085817,0.139224638,7.182636747,maize
77,36,23,24.71417533,6.648725327,0.189074819,5.288911593,maize
87,60,23,20.27317074,6.439071996,0.125136298,7.991286399,maize
60,38,17,18.41932981,6.474476516,0.168863737,5.921934543,maize
94,54,17,23.39128187,5.871647806,0.147825951,6.764712116,maize
95,38,22,19.84939404,5.730617109,0.13451222,7.434268819,maize
84,44,21,21.869274,5.850439831,0.15348506,6.51529209,maize
77,58,19,22.8056033,5.791649933,0.15458184,6.469065205,maize
66,44,20,19.0781471,6.740000688,0.154447285,6.474701045,maize
63,35,16,22.02720976,6.272417541,0.201993068,4.950664939,maize
79,45,20,23.80546189,5.715208817,0.172260152,5.805173096,maize
72,60,25,18.52510753,5.773454729,0.124363742,8.040928828,maize
67,51,24,23.50297882,5.584171461,0.172556189,5.795213759,maize
86,36,24,26.54986394,5.787268394,0.188697698,5.299481708,maize
76,48,18,19.29563411,5.77597783,0.142927001,6.996578635,maize
75,53,18,20.68899915,6.864793607,0.148554789,6.731523156,maize
81,45,23,19.32666088,6.192360003,0.136420543,7.330274307,maize
73,45,21,24.60532218,6.636803223,0.184210951,5.428558915,maize
71,35,24,22.27373646,5.826426917,0.179028742,5.585695285,maize
96,54,22,25.70196694,6.960358276,0.155243994,6.441473034,maize
99,39,18,19.20129357,6.11275104,0.129495472,7.722277757,maize
62,48,20,21.70181447,6.708446922,0.174629342,5.726414519,maize
86,37,16,20.51716779,5.561510732,0.154799768,6.459957991,maize
94,50,19,23.30355338,5.873242491,0.149101554,6.706838192,maize
76,39,24,24.2547451,6.995843776,0.181688814,5.503916173,maize
77,52,17,24.86374934,5.714799723,0.177148968,5.644966555,maize
74,39,23,22.6265115,6.78073637,0.173724349,5.756245479,maize
81,49,20,18.04185513,5.513697923,0.126945701,7.877383741,maize
63,42,21,23.26237612,5.798423908,0.192558541,5.193225897,maize
99,38,21,22.88330922,6.352471866,0.151160185,6.615498654,maize
90,52,25,25.97482359,6.822586546,0.16152589,6.190958004,maize
68,40,19,26.14384005,6.655426355,0.213731024,4.678777939,maize
60,57,24,18.66116213,6.121294041,0.139440866,7.171498768,maize
71,52,18,25.10787449,5.790770203,0.18516223,5.400669444,maize
61,59,17,23.33844615,6.47444292,0.177652892,5.628954254,maize
88,38,15,25.08239719,6.455116637,0.18498154,5.405944821,maize
65,60,22,25.36768364,6.606984086,0.179371998,5.575006209,maize
78,37,22,25.34217103,6.330554389,0.192278621,5.200786216,maize
78,58,15,25.00933355,6.528631266,0.172247242,5.805608195,maize
92,60,23,18.66746724,5.721667141,0.112385527,8.897942875,maize
79,59,17,20.37999665,6.644205485,0.137935462,7.249767273,maize
91,55,15,18.09300227,6.376651091,0.118590076,8.432408781,maize
76,51,18,26.16985907,6.247040422,0.187378338,5.336796176,maize
87,48,25,18.65396672,6.656730008,0.122837292,8.140850256,maize
71,60,22,26.07470121,6.2048017,0.176958831,5.651031892,maize
90,57,24,18.92851916,6.158860284,0.116541048,8.580667667,maize
67,35,22,23.30546753,6.385684214,0.196011835,5.101732762,maize
60,54,19,18.74826712,6.417820493,0.148483211,6.734768129,maize
83,58,23,19.74213321,6.381201909,0.126476422,7.906612032,maize
83,57,19,25.73044432,6.877869005,0.168116002,5.94827374,maize
40,72,77,17.02498456,7.485996067,0.095370289,10.48544587,chickpea
23,72,84,19.02061277,6.920251378,0.111846999,8.940785282,chickpea
39,58,85,17.88776475,5.996932037,0.103778927,9.635867579,chickpea
22,72,85,18.86805647,6.391173589,0.110994729,9.009436845,chickpea
36,67,77,18.36952567,7.152811172,0.107608476,9.292948267,chickpea
32,73,81,20.45078582,5.988992796,0.115326805,8.671011009,chickpea
58,70,84,20.6543203,6.231049028,0.10214302,9.790194154,chickpea
59,70,84,17.3348681,7.550808267,0.086079193,11.61720929,chickpea
42,62,75,18.17912258,7.010570541,0.107145936,9.333065121,chickpea
28,74,81,18.01272266,8.753795334,0.103894659,9.625133826,chickpea
58,66,79,20.99373558,8.718192847,0.108343525,9.229900908,chickpea
43,66,79,19.46233971,7.976607593,0.108842233,9.187610149,chickpea
58,63,81,19.81344531,6.515499549,0.103036858,9.70526489,chickpea
23,62,85,18.97424756,8.490127142,0.117495574,8.510958898,chickpea
27,62,77,18.19737048,6.576415562,0.11564681,8.647017578,chickpea
28,72,84,18.72963144,6.481783043,0.107226258,9.326073858,chickpea
50,56,76,20.99502153,7.966605025,0.120851767,8.274599766,chickpea
39,71,84,20.28155898,8.140825437,0.109698758,9.115873521,chickpea
25,78,76,17.48042641,7.228963452,0.103242606,9.685923692,chickpea
31,70,77,20.88818675,6.492546046,0.122967341,8.132240557,chickpea
26,80,83,17.08498521,7.528599957,0.095687752,10.45065826,chickpea
25,68,77,20.09340593,7.701446446,0.124078858,8.05939072,chickpea
31,78,76,17.57212145,8.519975748,0.100389846,9.961166822,chickpea
60,68,83,19.12065218,6.620900869,0.095358541,10.48673761,chickpea
59,62,83,18.57665902,8.104396058,0.095964015,10.42057277,chickpea
22,67,78,17.16606398,6.204090835,0.108778826,9.192965531,chickpea
36,65,80,18.2872007,6.051091339,0.10655912,9.384461893,chickpea
59,60,84,19.03025305,7.690962338,0.098671197,10.13466977,chickpea
54,77,85,17.1418614,7.829211144,0.083990099,11.90616526,chickpea
43,68,81,17.47809436,6.761599706,0.096240075,10.39068187,chickpea
28,76,82,20.56601874,6.654425315,0.115946337,8.624679513,chickpea
42,79,85,17.22385224,6.129533877,0.088465302,11.30386689,chickpea
32,60,83,19.69141713,8.829273328,0.118236669,8.457613072,chickpea
22,78,76,17.84851658,8.621662982,0.107093844,9.337604859,chickpea
31,79,75,18.8202251,8.204862075,0.107136352,9.333900047,chickpea
28,58,81,17.47500984,6.18042747,0.110628801,9.039237405,chickpea
57,58,77,18.72649425,7.978996755,0.102742158,9.733102982,chickpea
49,55,78,18.65580107,7.863113671,0.107998907,9.259352969,chickpea
46,76,77,18.2356751,6.967843048,0.096661684,10.34536084,chickpea
54,61,77,18.81198127,6.206582193,0.103187402,9.691105467,chickpea
38,60,76,18.65054116,8.868741443,0.112934145,8.854717974,chickpea
59,55,79,20.36720401,8.766128654,0.110710902,9.032534154,chickpea
36,76,75,18.38120357,8.736337905,0.1036428,9.648523598,chickpea
57,68,81,17.17012591,8.081095263,0.088204495,11.33729073,chickpea
35,66,81,19.37101121,6.138243973,0.111928633,8.934264388,chickpea
35,64,78,17.92845928,7.496645259,0.106940448,9.350998799,chickpea
52,60,79,19.45339934,8.380185271,0.10708586,9.338301024,chickpea
27,76,83,19.12829388,6.289614016,0.108216634,9.240723586,chickpea
57,60,84,19.1034283,6.586777189,0.100017056,9.998294669,chickpea
52,68,78,17.48504075,6.89655198,0.093358792,10.711364,chickpea
43,79,79,19.40751744,7.806747656,0.101529938,9.849311686,chickpea
44,74,85,20.18649426,7.150681303,0.104366967,9.581575768,chickpea
24,55,78,17.30287885,6.64919573,0.116578846,8.577885549,chickpea
29,77,75,17.50361137,7.778591618,0.102229897,9.781874272,chickpea
20,60,78,18.17234999,6.358740355,0.121343987,8.241034619,chickpea
56,67,78,17.57445618,8.255450758,0.09241023,10.82131278,chickpea
37,66,85,20.93175255,6.456148474,0.116658258,8.572046378,chickpea
49,71,76,19.71098332,6.613072145,0.105668282,9.463577705,chickpea
59,69,80,19.07937684,8.165359297,0.096535466,10.35888721,chickpea
20,79,77,18.54988627,7.64867466,0.111078899,9.002609916,chickpea
24,56,85,18.19903647,6.545888558,0.116357797,8.594181289,chickpea
51,72,75,18.88852533,7.104224797,0.100447098,9.955489244,chickpea
57,73,85,18.49311205,7.358099622,0.090665637,11.02953697,chickpea
22,64,82,19.48974337,6.4740245,0.121962758,8.199224215,chickpea
52,73,79,17.25769499,7.840339389,0.089498505,11.17337101,chickpea
29,75,75,19.62416326,7.064790365,0.115218789,8.679139985,chickpea
44,59,78,20.67526473,7.599033472,0.119752844,8.350532381,chickpea
41,69,82,20.02381489,6.715587232,0.109499036,9.1325005,chickpea
52,56,85,20.1187446,6.81712422,0.109423547,9.138800798,chickpea
34,76,80,20.65691793,7.985417393,0.113983779,8.773178188,chickpea
42,74,83,19.2582557,7.545258424,0.10180028,9.823155702,chickpea
34,71,79,17.927806,7.728998197,0.102868511,9.721147818,chickpea
27,73,79,19.16288268,7.354973451,0.112641803,8.877698831,chickpea
30,70,79,20.26942271,7.313122235,0.118823591,8.415837253,chickpea
57,57,75,17.09104223,7.785039076,0.0957198,10.4471593,chickpea
27,79,82,17.06579293,6.307004923,0.096094643,10.40640733,chickpea
32,71,85,20.62767492,6.403982316,0.115040824,8.692566385,chickpea
31,76,82,20.8248451,7.599279991,0.115475371,8.659855277,chickpea
33,75,84,19.46210401,7.217018459,0.106573458,9.383199299,chickpea
47,80,77,17.18248372,7.561108006,0.089129822,11.21958931,chickpea
54,62,80,17.48911699,7.489545074,0.09433223,10.60083075,chickpea
47,79,78,17.48395377,6.609696734,0.090607617,11.03659977,chickpea
35,57,83,19.48316794,7.476800943,0.117046674,8.543600312,chickpea
53,73,77,19.71359733,7.325451279,0.102037425,9.800325688,chickpea
45,61,78,19.48649305,6.489389282,0.111339636,8.981527465,chickpea
37,78,79,19.95264829,7.786366322,0.108003342,9.258972771,chickpea
30,75,81,19.41789736,6.408437886,0.109773642,9.109654962,chickpea
37,55,82,19.45591848,8.423873703,0.11756275,8.506095689,chickpea
53,65,76,20.19137759,8.719960893,0.109233905,9.154666759,chickpea
22,60,85,18.8392908,7.811997977,0.118798149,8.417639606,chickpea
60,61,78,20.71219282,6.317153205,0.109106497,9.165357071,chickpea
42,67,77,18.99424448,7.114405288,0.107495938,9.302677087,chickpea
39,76,76,19.96837462,8.135900726,0.109782066,9.108955914,chickpea
35,63,76,17.81564548,7.714153038,0.108135894,9.247623218,chickpea
30,65,82,20.71424384,7.103798069,0.122679344,8.151331509,chickpea
57,56,78,17.34150229,8.861479668,0.096028808,10.41354176,chickpea
48,65,78,17.43732714,7.861128148,0.096530509,10.35941916,chickpea
36,56,83,18.89780215,7.4526709,0.113701727,8.794941204,chickpea
40,58,75,18.59190771,7.168096055,0.113248021,8.830176344,chickpea
49,69,82,18.31561493,7.26311855,0.096578075,10.354317,chickpea
13,60,25,17.13692774,5.68597166,0.185070691,5.403340709,kidneybeans
25,70,16,19.63474332,5.759237003,0.185898588,5.379276993,kidneybeans
31,55,22,22.91350245,5.873171894,0.221421319,4.516276954,kidneybeans
40,64,16,16.43340342,5.926676985,0.145278362,6.883337528,kidneybeans
2,61,20,22.13974653,5.95561668,0.278792127,3.586901866,kidneybeans
26,65,22,17.84806561,5.949949081,0.166797041,5.9953102,kidneybeans
17,57,21,19.88394011,5.789214289,0.219830949,4.54895003,kidneybeans
26,80,18,19.32509638,5.581021521,0.163912068,6.100832079,kidneybeans
17,59,17,18.4167001,5.689858133,0.208781722,4.789691324,kidneybeans
27,59,22,21.81167649,5.794158504,0.211219227,4.734417483,kidneybeans
28,58,24,19.72702528,5.748190463,0.188427503,5.307080901,kidneybeans
25,57,19,17.15432954,5.566522896,0.179745837,5.563411184,kidneybeans
28,80,17,19.62207826,5.809419584,0.164976626,6.061464728,kidneybeans
25,60,22,21.63149148,5.887263027,0.211509266,4.727925249,kidneybeans
12,78,23,16.06522754,5.99812453,0.151019713,6.621652113,kidneybeans
6,77,25,20.61162204,5.792744849,0.200107611,4.99731116,kidneybeans
22,79,17,21.42451099,5.912289889,0.190038229,5.26209914,kidneybeans
27,80,15,19.07096165,5.788386951,0.164516079,6.078433217,kidneybeans
10,55,23,21.18853178,5.728233081,0.252142407,3.966012753,kidneybeans
23,65,20,23.0429097,5.833940084,0.222619534,4.49196879,kidneybeans
19,78,16,20.65375833,5.967533236,0.19162618,5.218493634,kidneybeans
19,65,25,18.09551014,5.625096446,0.175188166,5.708148104,kidneybeans
22,70,19,18.23775702,5.515615023,0.173313126,5.769903419,kidneybeans
37,64,22,17.48189735,5.954665349,0.150259328,6.655160867,kidneybeans
11,71,17,19.9191786,5.74644777,0.211304834,4.732499392,kidneybeans
18,79,20,20.27514686,5.877347515,0.181838862,5.499374494,kidneybeans
21,63,17,15.77370214,5.979973965,0.166076259,6.021330244,kidneybeans
24,80,22,16.71170642,5.635993966,0.140569099,7.113939053,kidneybeans
34,60,22,17.66148158,5.635231778,0.160874841,6.216012352,kidneybeans
16,75,21,18.50692825,5.679224346,0.174169002,5.7415498,kidneybeans
17,77,23,24.51324787,5.670062975,0.218061948,4.585852832,kidneybeans
37,72,18,18.87614998,5.724242065,0.156505118,6.389567403,kidneybeans
40,73,20,21.59343016,5.811314232,0.169875415,5.886667012,kidneybeans
9,77,17,20.12373284,5.783425416,0.205084785,4.876032128,kidneybeans
1,62,23,15.43546065,5.607808432,0.191110008,5.232588355,kidneybeans
33,59,22,22.64236876,5.946999529,0.2073892,4.821851869,kidneybeans
23,59,19,21.98560799,5.852046999,0.227580277,4.394053881,kidneybeans
6,62,22,20.53052663,5.824090984,0.239228074,4.180111409,kidneybeans
25,63,20,15.78601387,5.502999119,0.155426054,6.433927723,kidneybeans
7,79,23,19.6365349,5.821649914,0.189326008,5.281894491,kidneybeans
8,72,17,20.57341244,5.711439256,0.222406314,4.496275231,kidneybeans
27,64,15,20.16080524,5.514927264,0.199630238,5.009261169,kidneybeans
28,66,23,21.53989176,5.99616119,0.192648648,5.190796888,kidneybeans
32,57,18,15.53834801,5.695422863,0.154564,6.469811854,kidneybeans
27,56,22,19.91853092,5.833010958,0.199224104,5.019472945,kidneybeans
17,77,24,20.76952209,5.568456899,0.184487475,5.420422162,kidneybeans
0,65,15,23.46168338,5.645435626,0.305771042,3.270420876,kidneybeans
13,72,21,24.32116642,5.821194486,0.238878928,4.186221055,kidneybeans
34,60,23,20.12574053,5.659254981,0.180561885,5.538267396,kidneybeans
9,80,19,21.80619564,5.945465949,0.211168478,4.735555272,kidneybeans
11,72,20,19.52226241,5.951177452,0.199245266,5.01893982,kidneybeans
3,67,24,17.00067625,5.520880014,0.191496556,5.222026034,kidneybeans
35,69,23,16.78791503,5.578410206,0.140062323,7.139678809,kidneybeans
3,77,25,24.84906168,5.608165195,0.24618154,4.062042998,kidneybeans
23,62,19,16.51783455,5.609435128,0.168440717,5.936806841,kidneybeans
22,71,17,18.15300153,5.509295379,0.174118196,5.743225146,kidneybeans
31,79,25,23.18864385,5.902033406,0.17917514,5.581131412,kidneybeans
34,59,18,23.38002569,5.744117663,0.219639871,4.552907426,kidneybeans
12,63,17,18.358923,5.717143397,0.210423076,4.752330489,kidneybeans
27,56,20,19.25975367,5.542690119,0.196696638,5.083970994,kidneybeans
7,63,24,22.95458237,5.858617867,0.254835983,3.924092624,kidneybeans
24,67,22,20.120043,5.618844277,0.186903035,5.350367895,kidneybeans
11,71,24,21.14011423,5.606620346,0.208869002,4.787689842,kidneybeans
37,74,15,24.92360104,5.582178402,0.205742865,4.860435856,kidneybeans
25,76,24,15.33042636,5.56503533,0.130643411,7.654423543,kidneybeans
34,66,17,18.81097271,5.889614577,0.169324553,5.905818039,kidneybeans
20,69,15,23.44260668,5.934136378,0.235025064,4.254865341,kidneybeans
37,65,16,22.8352024,5.683548308,0.201993241,4.950660708,kidneybeans
18,74,15,24.9035819,5.70836603,0.24208955,4.130702866,kidneybeans
4,67,25,23.78709569,5.948164454,0.258198913,3.872982991,kidneybeans
37,56,25,22.05592283,5.774755144,0.195389177,5.11799076,kidneybeans
5,59,15,18.87492997,5.97229163,0.251581392,3.974856773,kidneybeans
11,61,21,18.62328774,5.532100554,0.211003094,4.739266999,kidneybeans
22,80,20,23.00884744,5.669560726,0.196793831,5.081460087,kidneybeans
12,61,19,19.33162606,5.655726817,0.220995935,4.5249701,kidneybeans
5,74,21,16.24469193,5.591704014,0.172446919,5.798885849,kidneybeans
27,69,22,17.91652287,5.932323085,0.160309516,6.237932881,kidneybeans
31,75,18,15.46789263,5.824208309,0.132805586,7.529803769,kidneybeans
36,68,20,17.06104474,5.86442953,0.145653587,6.865605051,kidneybeans
5,65,16,21.32776028,5.866744372,0.25962512,3.851707423,kidneybeans
32,79,15,23.90910104,5.706198621,0.197691278,5.058392103,kidneybeans
11,78,22,23.89756791,5.940546818,0.224302414,4.458266783,kidneybeans
0,55,22,22.98666928,5.916779289,0.311515185,3.210116382,kidneybeans
14,59,15,21.35135729,5.779090476,0.253992696,3.937121082,kidneybeans
29,68,23,24.1638445,5.82738029,0.209698704,4.768746683,kidneybeans
32,68,19,24.62835037,5.514234138,0.215364289,4.643295346,kidneybeans
17,64,17,21.02213209,5.662699104,0.224715634,4.450068667,kidneybeans
13,69,19,17.30844532,5.86390397,0.181271736,5.516579821,kidneybeans
14,67,22,23.82576704,5.624690248,0.241026864,4.14891511,kidneybeans
9,69,20,19.30607278,5.591560999,0.207204824,4.826142458,kidneybeans
20,73,22,16.03768615,5.976312538,0.148153793,6.749742834,kidneybeans
40,78,20,19.18572809,5.669236258,0.146273392,6.836513371,kidneybeans
27,72,23,19.92889503,5.961934481,0.17154832,5.829261403,kidneybeans
14,67,15,19.56376468,5.690065688,0.214205882,4.668405883,kidneybeans
7,56,18,18.31357543,5.698371311,0.238439203,4.193941215,kidneybeans
27,65,18,20.10993761,5.59503163,0.191908524,5.210815969,kidneybeans
30,63,16,23.60506572,5.525904526,0.225734548,4.429982071,kidneybeans
37,70,25,19.73136909,5.819403771,0.157055826,6.3671627,kidneybeans
27,63,19,20.93409877,5.562201934,0.201230264,4.969431438,kidneybeans
22,60,24,18.78226261,5.630664753,0.186625119,5.358335499,kidneybeans
3,72,24,36.51268371,6.03160778,0.378915997,2.639107369,pigeonpeas
40,59,23,36.89163721,5.269084669,0.31058719,3.219707803,pigeonpeas
33,73,23,29.23540524,5.985792703,0.234382986,4.266521284,pigeonpeas
